15:45:06.124 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
15:46:13.638 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:46:13.639 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
16:11:25.738 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:11:25.739 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
16:11:59.386 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:11:59.386 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:18:05.358 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:18:05.358 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:19:51.245 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:19:51.245 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:24:11.708 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:24:11.708 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
13:59:42.841 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
13:59:42.842 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:43:02.568 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:43:02.569 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:44:39.643 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:44:39.644 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
15:19:45.176 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:19:45.177 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
15:25:50.351 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:25:50.351 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
15:31:47.681 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:31:47.683 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
15:32:33.223 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:32:33.224 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
15:33:17.684 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:33:17.684 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
15:33:44.383 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:33:44.384 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
15:35:22.063 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:35:22.063 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
15:39:15.815 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:39:15.816 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:22:59.068 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:22:59.068 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:23:41.881 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:23:41.882 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:32:37.166 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:32:37.166 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:32:59.685 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:32:59.685 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
14:38:22.182 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
